scen,bev_type,SSB_status,cont_type,impact_type,item,value
scen2_2,coffee,non_SSB,alum_can,h2o,bev,2164.9384855744756
scen2_2,coffee,non_SSB,glass,ghg,bev,592172.5796805717
scen2_2,coffee,non_SSB,glass,h2o,bev,15400.391473360083
scen2_2,coffee,non_SSB,plastic,ghg,bev,123208.15359091666
scen2_2,coffee,non_SSB,plastic,h2o,bev,3204.2243479654403
scen2_2,coffee,SSB,alum_can,ghg,bev,0
scen2_2,coffee,SSB,alum_can,h2o,bev,0
scen2_2,coffee,SSB,glass,ghg,bev,0
scen2_2,coffee,SSB,glass,h2o,bev,0
scen2_2,coffee,SSB,plastic,ghg,bev,0
scen2_2,coffee,SSB,plastic,h2o,bev,0
scen2_2,coffee_milk,non_SSB,alum_can,ghg,bev,630867.7605465736
scen2_2,coffee_milk,non_SSB,alum_can,h2o,bev,219869.7272217195
scen2_2,coffee_milk,non_SSB,glass,ghg,bev,14490294.513560561
scen2_2,coffee_milk,non_SSB,glass,h2o,bev,5050150.445631681
scen2_2,coffee_milk,non_SSB,plastic,ghg,bev,2462817.6493478687
scen2_2,coffee_milk,non_SSB,plastic,h2o,bev,858340.0177080001
scen2_2,coffee_milk,SSB,alum_can,ghg,bev,0
scen2_2,coffee_milk,SSB,alum_can,h2o,bev,0
scen2_2,coffee_milk,SSB,glass,ghg,bev,0
scen2_2,coffee_milk,SSB,glass,h2o,bev,0
scen2_2,coffee_milk,SSB,plastic,ghg,bev,0
scen2_2,coffee_milk,SSB,plastic,h2o,bev,0
scen2_2,juice,non_SSB,alum_can,ghg,bev,628729.2043159029
scen2_2,juice,non_SSB,alum_can,h2o,bev,140489.72981483946
scen2_2,juice,non_SSB,glass,ghg,bev,1991729.4536629685
scen2_2,juice,non_SSB,glass,h2o,bev,445052.5454974331
scen2_2,juice,non_SSB,plastic,ghg,bev,114235584.82381663
scen2_2,juice,non_SSB,plastic,h2o,bev,25525975.78889376
scen2_2,juice,non_SSB,carton,ghg,bev,3397365.5162722943
scen2_2,juice,non_SSB,carton,h2o,bev,759142.3464775656
scen2_2,juice,SSB,alum_can,ghg,bev,0
scen2_2,juice,SSB,alum_can,h2o,bev,0
scen2_2,juice,SSB,glass,ghg,bev,0
scen2_2,juice,SSB,glass,h2o,bev,0
scen2_2,juice,SSB,plastic,ghg,bev,0
scen2_2,juice,SSB,plastic,h2o,bev,0
scen2_2,juice,SSB,carton,ghg,bev,0
scen2_2,juice,SSB,carton,h2o,bev,0
scen2_2,juice,SSB,bag_in_box,ghg,bev,0
scen2_2,juice,SSB,bag_in_box,h2o,bev,0
scen2_2,milk_almond,non_SSB,carton,ghg,bev,20901262.145134
scen2_2,milk_almond,non_SSB,carton,h2o,bev,8445776.211709
scen2_2,milk_almond,SSB,plastic,ghg,bev,0
scen2_2,milk_almond,SSB,plastic,h2o,bev,0
scen2_2,milk_almond,SSB,carton,ghg,bev,0
scen2_2,milk_almond,SSB,carton,h2o,bev,0
scen2_2,milk_an,non_SSB,plastic,ghg,bev,91740656.68397446
