scen,bev_type,SSB_status,cont_type,vol
scen2_4,probiotic,non_SSB,plastic,416.703
scen2_4,probiotic,SSB,glass,0
scen2_4,soda,non_SSB,alum_can,23161.205409792365
scen2_4,soda,non_SSB,glass,2880.3573753235964
scen2_4,soda,non_SSB,plastic,18664.776036100575
scen2_4,soda,non_SSB,bag_in_box,35794.81117878347
scen2_4,soda,SSB,alum_can,0
scen2_4,soda,SSB,glass,0
scen2_4,soda,SSB,plastic,0
scen2_4,soda,SSB,carton,0
scen2_4,soda,SSB,bag_in_box,0
scen2_4,tea,non_SSB,alum_can,899.9807637184596
scen2_4,tea,non_SSB,glass,1865.4367320725505
scen2_4,tea,non_SSB,plastic,5121.493462600721
scen2_4,tea,non_SSB,bag_in_box,9062.289041608268
scen2_4,tea,SSB,alum_can,0
scen2_4,tea,SSB,glass,0
scen2_4,tea,SSB,plastic,0
scen2_4,tea,SSB,bag_in_box,0
scen2_4,water_bottled,non_SSB,plastic,104488.89
scen2_4,water_ucsb,non_SSB,steel_bott_reuse,628331.98
scen3_1,coffee,non_SSB,alum_can,0
scen3_1,coffee,non_SSB,glass,0
scen3_1,coffee,non_SSB,plastic,0
scen3_1,coffee,SSB,alum_can,0
scen3_1,coffee,SSB,glass,0
scen3_1,coffee,SSB,plastic,0
scen3_1,coffee_milk,non_SSB,alum_can,0
scen3_1,coffee_milk,non_SSB,glass,0
scen3_1,coffee_milk,non_SSB,plastic,0
scen3_1,coffee_milk,SSB,alum_can,0
scen3_1,coffee_milk,SSB,glass,0
scen3_1,coffee_milk,SSB,plastic,0
scen3_1,juice,non_SSB,alum_can,0
scen3_1,juice,non_SSB,glass,0
scen3_1,juice,non_SSB,plastic,0
scen3_1,juice,non_SSB,carton,0
scen3_1,juice,SSB,alum_can,0
scen3_1,juice,SSB,glass,0
scen3_1,juice,SSB,plastic,0
scen3_1,juice,SSB,carton,0
scen3_1,juice,SSB,bag_in_box,0
scen3_1,milk_almond,non_SSB,carton,0
scen3_1,milk_almond,SSB,plastic,0
scen3_1,milk_almond,SSB,carton,0
scen3_1,milk_an,non_SSB,plastic,0
scen3_1,milk_an,non_SSB,carton,0
scen3_1,milk_an,SSB,plastic,0
scen3_1,milk_an,SSB,carton,0
scen3_1,milk_an,SSB,bag_in_box,0
scen3_1,milk_other_plant,non_SSB,carton,0
scen3_1,milk_other_plant,non_SSB,bag_in_box,0
scen3_1,milk_other_plant,SSB,carton,0
scen3_1,milk_other_plant,SSB,bag_in_box,0
scen3_1,milk_soy,non_SSB,carton,0
scen3_1,milk_soy,SSB,carton,0
scen3_1,probiotic,non_SSB,plastic,0
scen3_1,probiotic,SSB,glass,0
scen3_1,soda,non_SSB,alum_can,0
scen3_1,soda,non_SSB,glass,0
scen3_1,soda,non_SSB,plastic,0
scen3_1,soda,non_SSB,bag_in_box,0
scen3_1,soda,SSB,alum_can,0
scen3_1,soda,SSB,glass,0
scen3_1,soda,SSB,plastic,0
scen3_1,soda,SSB,carton,0
